Note,12-TET H1,Length,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9
Re4,293.66,1119,,293,439,589,741,885,1037,1184,1336,1488
Re#,311.13,1044,,313,472,630,791,949,1107,1260,1418,1582
Mi,329.63,990,,331,495,662,826,990,1160,1330,1488,1664
Fa,349.23,930,174,349,524,706,879,1055,1242,1418,1582,1770
Fa#,369.99,884,,370,553,744,932,1112,1300,1491,1682,1890
Sol,392,832,194,392,586,784,984,1176,1384,1576,1787,1992
Sol#,415.3,781,207,415,620,836,1042,1247,1458,1679,1893,2124
La,440,741,218,440,654,878,1096,1312,1538,1770,2007,
La#,466.16,697,232,466,700,933,1163,1400,1641,1889,,
Si,493.88,660,245,493,732,976,1229,1485,1743,1998,,
Do,523.25,614,260,522,784,1046,1302,1564,1846,,,
Do#,554.37,577,276,555,835,1124,1408,1690,1989,2282,,
Re5,587.33,545,293,587,885,1185,1485,1793,2112,,,
Re#,622.25,512,310,622,932,1257,1573,1901,2241,,,
Mi,659.26,482,330,660,986,1320,1652,2021,,2725,,
